from,to,weight
9506144,9503124,1
9506144,9504145,1
9506144,9505105,1
9506144,9505162,1
9506144,9506112,3
9507050,9308083,4
9507050,9404151,1
9507050,9407087,4
9507050,9410167,3
9507050,9503124,3
9507050,9504090,3
9507050,9504145,2
9507050,9505054,4
9507050,9505105,3
9507050,9505162,4
9507050,9506048,3
9507050,9506112,1
9507158,9410167,3
9507158,9501068,4
9507158,9502072,1
9507158,9503124,4
9507158,9504090,2
9507158,9504145,4
9507158,9505105,2
9507158,9505162,3
9507158,9506144,1
9507158,9507048,1
9508094,9404151,2
9508094,9408083,1
9508094,9410167,1
9508094,9412184,4
9508094,9501030,4
9508094,9503124,2
9508094,9504027,2
9508094,9504081,3
9508155,9308083,2
9508155,9308122,1
9508155,9309140,4
9508155,9406055,2
9508155,9407087,3
9508155,9410167,3
9508155,9411048,1
9508155,9411057,1
9508155,9412209,4
9508155,9501030,3
9508155,9501068,3
9508155,9502072,3
9508155,9503124,2
9508155,9503163,2
9508155,9504027,2
9508155,9504090,2
9508155,9504145,2
9508155,9505062,1
9508155,9505105,2
9508155,9505150,1
9508155,9505162,4
9508155,9506112,4
9508155,9507050,2
9508155,9507121,2
9508155,9507158,2
9508155,9508071,4
9508155,9508143,3
9510142,9404151,2
9510142,9406032,2
9510142,9407087,3
9510142,9408099,3
9510142,9409188,2
9510142,9410167,1
9510142,9501030,1
9510142,9503124,4
9510142,9503208,4
9510142,9504090,3
9510142,9504145,1
9510142,9505025,1
9510142,9505105,2
9510142,9505162,4
9510142,9506048,3
9510142,9506112,2
9510142,9507012,4
9510142,9507050,4
9510142,9507121,3
9510142,9508154,2
9510142,9508155,1
9510225,9407031,3
9510225,9407087,2
9510225,9410167,2
9510225,9503124,2
9510225,9504090,1
9510225,9505105,2
9510225,9506112,2
9510225,9506122,3
9510225,9507012,3
9510225,9507121,4
9510225,9508143,2
9510225,9510135,2
9510225,9510142,2
9510225,9510169,4
9510234,9302103,4
9510234,9308083,3
9510234,9309097,2
9510234,9309140,4
9510234,9311042,3
9510234,9404151,4
9510234,9406055,1
9510234,9408099,1
9510234,9410167,4
9510234,9501030,2
9510234,9502072,1
9510234,9503124,2
9510234,9504027,4
9510234,9504145,2
9510234,9505105,4
9510234,9505162,2
9510234,9506112,4
9510234,9507050,1
9510234,9508155,3
9510234,9510142,4
9511030,9407031,2
9511030,9407087,4
9511030,9412184,2
9511030,9501030,1
9511030,9503124,3
9511030,9504027,3
9511030,9504090,3
9511030,9505105,1
9511030,9507121,3
9511030,9510017,4
9511030,9510135,2
9511030,9510169,3
9511030,9510173,2
9511171,9311042,2
9511171,9404151,2
9511171,9407087,1
9511171,9408099,1
9511171,9410167,4
9511171,9411048,1
9511171,9503124,1
9511171,9504145,3
9511171,9505105,1
9511171,9505162,2
9511171,9506112,1
9511171,9507012,4
9511171,9507050,4
9511171,9507121,1
9511171,9508155,4
9511171,9510142,2
9511171,9510225,4
9511171,9510234,2
9511171,9511030,3
9601108,9302103,3
9601108,9308083,4
9601108,9308122,1
9601108,9309097,3
9601108,9311042,4
9601108,9404151,2
9601108,9406055,3
9601108,9407087,3
9601108,9410167,4
9601108,9501030,1
9601108,9502072,2
9601108,9503124,3
9601108,9504090,2
9601108,9504145,4
9601108,9505025,1
9601108,9505105,2
9601108,9505162,4
9601108,9507012,4
9601108,9507121,3
9601108,9507158,4
9601108,9508155,2
9601108,9510135,3
9601108,9510142,4
9601108,9510225,2
9601108,9510234,3
9601108,9511164,3
9601108,9511171,2
9601108,9511222,4
9601108,9512016,1
9601108,9512059,4
9601108,9512145,4
9601108,9601038,4
9602022,9410167,3
9602022,9503124,3
9602022,9505105,3
9602022,9507050,2
9602022,9508154,4
9602022,9510017,4
9602022,9510169,3
9602022,9510209,4
9602022,9510225,4
9602022,9511080,4
9602022,9511164,1
9602022,9511222,2
9602022,9512077,4
9602114,9210127,2
9602114,9308083,1
9602114,9309097,1
9602114,9311042,1
9602114,9410167,1
9602114,9501030,1
9602114,9503124,3
9602114,9504090,4
9602114,9504145,3
9602114,9505105,3
9602114,9506112,2
9602114,9507012,3
9602114,9507050,3
9602114,9508155,1
9602114,9510142,3
9602114,9510225,3
9602114,9511030,4
9602114,9511171,4
9602114,9601108,3
9602114,9602022,4
9603003,9210127,4
9603003,9507121,3
9603003,9510209,1
9603003,9511030,2
9603003,9512059,2
9603003,9601038,1
9603003,9602022,1
9603003,9602070,3
9603003,9602114,2
9603150,9309097,3
9603150,9404060,3
9603150,9503124,1
9603150,9505105,1
9603150,9506144,3
9603150,9507012,3
9603150,9507121,3
9603150,9507158,3
9603150,9511171,4
9603150,9512059,2
9603150,9601108,2
9603150,9602022,2
9603150,9602114,4
9603150,9603003,4
9603161,9210127,2
9603161,9309097,3
9603161,9504090,1
9603161,9504145,4
9603161,9505062,2
9603161,9505162,2
9603161,9507121,3
9603161,9508143,2
9603161,9508154,4
9603161,9510142,4
9603161,9510209,1
9603161,9510225,2
9603161,9511222,1
9603161,9512077,3
9603161,9601108,3
9603161,9602022,4
9603161,9602070,1
9603161,9602114,2
9603161,9603003,4
9603167,9406032,4
9603167,9408074,2
9603167,9510017,3
9603167,9510142,3
9603167,9510225,1
9603167,9511030,4
9603167,9511222,4
9603167,9512077,2
9603167,9601038,4
9603167,9602052,1
9605184,9210127,3
9605184,9501030,2
9605184,9503124,2
9605184,9507050,3
9605184,9510017,2
9605184,9510169,4
9605184,9510209,4
9605184,9511030,4
9605184,9512077,4
9605184,9601038,3
9605184,9602022,3
9605184,9602052,2
9605184,9602114,2
9605184,9603003,3
9605184,9603142,1
9605184,9603161,4
9605184,9603167,2
9605222,9308083,3
9605222,9308122,2
9605222,9309097,2
9605222,9503124,3
9605222,9504090,2
9605222,9504145,3
9605222,9507012,2
9605222,9507121,3
9605222,9510225,4
9605222,9511030,2
9605222,9605036,4
9606017,9408099,4
9606017,9503124,4
9606017,9511030,1
9606017,9512077,2
9606017,9602022,3
9606017,9602052,3
9606017,9603003,2
9606017,9603127,3
9606017,9604198,1
9606017,9605150,1
9606017,9605199,2
9606040,9507158,3
9606040,9508155,1
9606040,9510227,1
9606040,9512062,2
9606040,9603150,1
9607163,9407087,3
9607163,9408099,2
9607163,9507158,1
9607163,9603042,2
9607163,9605150,3
9607163,9605199,2
9607163,9606017,4
9607207,9407087,4
9607207,9408099,1
9607207,9411149,4
9607207,9512077,2
9607207,9602167,2
9607207,9603042,3
9607207,9605150,3
9607207,9605199,2
9607207,9606017,1
9607207,9607163,3
9608086,9407087,2
9608086,9408099,1
9608086,9507158,4
9608086,9601108,4
9608086,9606017,2
9608086,9607163,1
9609070,9504145,1
9609070,9506144,4
9609070,9507158,3
9609070,9510169,3
9609070,9601108,1
9609070,9602052,4
9609070,9603042,2
9609070,9603150,1
9609070,9603161,2
9609070,9606017,2
9609070,9608111,2
9609071,9510169,3
9609071,9510209,1
9609071,9510225,2
9609071,9511164,3
9609071,9511171,2
9609071,9601108,4
9609071,9602022,2
9609071,9602052,2
9609071,9602114,3
9609071,9603003,2
9609071,9603142,4
9609071,9603150,1
9609071,9603161,4
9609071,9604198,3
9609071,9605150,3
9609071,9605199,2
9609071,9605200,4
9609071,9606044,1
9609071,9608024,2
9609071,9608047,1
9609071,9608111,1
9609239,9308122,1
9609239,9407087,4
9609239,9408099,1
9609239,9410167,1
9609239,9503124,3
9609239,9504145,3
9609239,9505105,4
9609239,9505162,1
9609239,9506112,2
9609239,9507012,2
9609239,9507050,3
9609239,9507121,1
9609239,9508155,4
9609239,9509161,4
9609239,9510017,3
9609239,9510106,2
9609239,9510225,4
9609239,9510234,2
9609239,9511171,1
9609239,9511222,4
9609239,9601108,1
9609239,9605200,2
9609239,9608194,2
9609239,9609071,1
9611137,9210127,3
9611137,9302103,1
9611137,9401139,2
9611137,9404151,3
9611137,9407087,2
9611137,9408099,4
9611137,9410167,4
9611137,9501030,2
9611137,9503124,4
9611137,9504090,4
9611137,9504145,3
9611137,9505025,2
9611137,9505054,4
9611137,9505105,2
9611137,9505162,2
9611137,9506048,4
9611137,9506112,4
9611137,9507012,1
9611137,9507050,4
9611137,9507121,1
9611137,9508094,2
9611137,9508143,3
9611137,9508154,3
9611137,9508155,3
9611137,9510017,2
9611137,9510209,4
9611137,9510225,3
9611137,9510234,4
9611137,9511030,2
9611137,9511164,2
9611137,9512016,4
9611137,9601038,4
9611137,9601108,4
9611137,9602022,2
9611137,9602114,4
9611137,9603003,4
9611137,9603161,3
9611137,9603167,3
9611137,9603170,2
9611137,9604034,1
9611137,9605150,1
9611137,9605184,2
9611137,9605200,4
9611137,9606040,4
9612108,9503124,1
9612108,9505105,2
9612108,9505162,3
9612108,9507012,4
9612108,9507121,2
9612108,9510209,2
9612108,9510225,3
9612108,9511030,2
9612108,9601038,3
9612108,9601108,2
9612108,9602022,2
9612108,9602114,3
9612108,9603003,4
9612108,9603161,2
9612108,9604129,2
9612108,9605150,4
9612108,9605184,4
9612108,9605200,3
9612108,9606165,4
9612108,9611137,4
9701162,9602114,3
9701162,9603150,3
9701162,9603161,4
9701162,9604030,3
9701162,9605053,1
9701162,9605150,2
9701162,9605200,4
9701162,9606122,3
9701162,9607091,4
9701162,9608194,3
9701162,9609070,1
9701162,9609071,3
9701162,9611090,3
9701162,9701023,2
9702094,9407087,1
9702094,9408099,2
9702094,9411048,2
9702094,9411149,1
9702094,9503179,3
9702094,9505006,2
9702094,9505062,1
9702094,9505075,3
9702094,9505100,2
9702094,9505105,4
9702094,9508155,3
9702094,9511154,2
9702094,9603042,3
9702094,9603136,2
9702094,9604034,3
9702094,9605150,2
9702094,9605199,3
9702094,9611190,4
9702155,9309097,2
9702155,9311042,4
9702155,9401139,1
9702155,9407087,3
9702155,9410167,2
9702155,9502072,2
9702155,9503124,4
9702155,9504090,4
9702155,9504145,4
9702155,9505062,3
9702155,9505105,2
9702155,9507158,4
9702155,9510017,1
9702155,9510135,1
9702155,9510169,4
9702155,9510225,3
9702155,9606040,2
9702155,9606112,4
9702155,9609070,4
9702155,9609071,1
9702198,9309097,3
9702198,9506144,4
9702198,9510225,4
9702198,9511030,4
9702198,9511171,4
9702198,9601108,1
9702198,9602114,3
9702198,9603003,1
9702198,9603042,2
9702198,9603150,3
9702198,9603161,2
9702198,9603167,2
9702198,9604198,4
9702198,9605199,4
9702198,9605200,3
9702198,9608111,1
9702198,9609070,4
9702198,9609071,1
9703082,9407087,2
9703082,9408099,2
9703082,9411048,1
9703082,9502072,4
9703082,9504102,2
9703082,9507008,4
9703082,9509161,3
9703082,9509176,2
9703082,9512006,3
9703082,9603004,4
9703166,9407087,3
9703166,9411048,1
9703166,9411057,4
9703166,9501068,2
9703166,9505035,2
9703166,9505062,2
9703166,9505075,4
9703166,9505100,3
9703166,9507158,2
9703166,9509161,3
9703166,9510101,2
9703166,9511222,3
9703166,9512059,4
9703166,9512062,2
9703166,9604034,3
9703166,9611230,3
9704097,9505105,4
9704097,9505162,2
9704097,9506112,1
9704097,9507050,4
9704097,9508155,3
9704097,9511030,3
9704097,9602114,2
9704097,9603161,3
9704097,9603170,1
9704097,9605200,1
9704097,9612108,1
9704097,9701023,1
9704097,9701165,3
9705030,9507012,2
9705030,9507121,3
9705030,9510135,2
9705030,9510209,2
9705030,9511030,4
9705030,9512059,4
9705030,9512077,1
9705030,9601038,1
9705030,9603003,1
9705030,9603167,1
9705030,9604129,3
9705030,9604178,1
9705030,9605184,3
9705030,9606165,3
9705030,9607229,1
9705030,9608053,2
9705030,9611050,4
9705030,9612108,3
9705030,9612126,4
9705044,9507012,3
9705044,9510135,3
9705044,9510209,4
9705044,9511030,1
9705044,9512077,1
9705044,9601038,1
9705044,9603003,3
9705044,9603167,4
9705044,9604129,4
9705044,9605184,2
9705044,9608053,2
9705044,9610140,4
9705044,9612108,3
9705044,9612126,2
9705104,9503124,1
9705104,9505105,4
9705104,9507012,4
9705104,9507121,3
9705104,9510234,1
9705104,9511030,3
9705104,9602022,4
9705104,9602114,3
9705104,9603003,1
9705104,9603161,1
9705104,9603167,3
9705104,9605184,4
9705104,9605200,1
9705104,9609111,1
9705104,9611137,3
9705104,9611230,1
9705104,9612108,2
9705104,9701162,3
9705104,9701165,2
9705104,9702061,1
9705104,9704097,3
9705104,9705030,1
9705104,9705044,2
9705220,9409188,2
9705220,9501030,2
9705220,9503124,2
9705220,9504090,1
9705220,9504145,4
9705220,9510225,3
9705220,9511164,3
9705220,9601108,4
9705220,9603003,4
9705220,9603042,1
9705220,9604034,4
9705220,9605200,4
9705220,9606040,2
9705220,9607207,4
9705220,9608047,2
9705220,9608086,2
9705220,9609070,3
9705220,9609071,1
9705220,9609239,2
9705220,9610076,1
9705220,9611063,4
9705220,9611090,3
9705220,9611230,2
9705220,9701162,2
9705220,9702198,4
9705220,9703166,2
9705220,9705030,4
9705220,9705044,4
9705220,9705104,1
9706005,9410167,1
9706005,9503124,1
9706005,9504027,2
9706005,9505105,2
9706005,9505162,1
9706005,9511030,4
9706005,9602114,1
9706005,9603003,2
9706005,9603161,1
9706005,9605184,1
9706005,9606040,3
9706005,9612108,4
9706005,9704097,1
9706005,9705104,1
9707014,9404151,2
9707014,9503124,4
9707014,9505025,4
9707014,9507158,1
9707014,9510209,2
9707014,9511222,2
9707014,9602022,4
9707014,9602114,2
9707014,9603003,1
9707014,9603161,1
9707014,9610043,3
9707014,9611137,2
9707014,9701162,3
9707014,9701165,1
9707014,9705104,4
9707042,9503124,2
9707042,9506052,1
9707042,9507121,1
9707042,9510135,4
9707042,9510225,1
9707042,9511164,2
9707042,9512059,2
9707042,9512062,2
9707042,9601003,1
9707042,9610043,4
9707042,9704089,2
9707042,9705162,1
9707042,9706117,4
9707049,9505105,3
9707049,9505162,2
9707049,9506112,3
9707049,9507050,2
9707049,9508155,2
9707049,9511030,4
9707049,9601108,4
9707049,9602114,3
9707049,9603161,1
9707049,9603170,1
9707049,9605200,2
9707049,9607207,2
9707049,9609239,3
9707049,9611137,1
9707049,9704097,2
9707049,9705220,1
9710230,9504090,4
9710230,9507158,4
9710230,9510017,4
9710230,9511222,2
9710230,9512077,3
9710230,9605033,3
9710230,9609017,1
9710230,9610234,4
9710230,9710206,2
9711036,9309097,1
9711036,9507121,4
9711036,9605222,3
9711036,9606040,1
9711036,9701162,2
9711036,9701165,1
9711036,9705104,2
9711104,9505054,1
9711104,9506048,1
9711104,9509161,3
9711104,9611092,1
9711104,9701162,1
9712028,9401139,4
9712028,9407087,3
9712028,9408099,3
9712028,9506048,2
9712028,9511030,4
9712028,9601038,1
9712028,9602022,2
9712028,9602052,4
9712028,9604129,1
9712028,9604178,4
9712028,9605150,1
9712028,9605184,1
9712028,9605199,1
9712028,9606017,4
9712028,9606165,2
9712028,9607163,4
9712028,9611050,1
9712028,9611092,4
9712028,9612108,2
9712028,9703157,1
9712028,9705104,1
9712028,9707123,1
9712028,9711104,4
9712028,9711201,2
9712042,9309140,2
9712042,9408099,2
9712042,9510101,3
9712042,9607163,2
9712042,9703082,1
9802194,9404151,1
9802194,9505025,4
9802194,9505105,2
9802194,9505162,1
9802194,9507158,4
9802194,9510142,4
9802194,9510234,4
9802194,9511030,2
9802194,9602114,4
9802194,9603161,2
9802194,9609017,3
9802194,9611137,4
9802194,9701162,1
9802194,9701165,4
9802194,9705104,2
9802194,9707014,2
9802194,9711104,1
9802194,9712028,4
9805056,9506048,2
9805056,9602114,3
9805056,9603161,4
9805056,9701162,4
9805056,9701165,1
9805056,9705104,1
9805056,9707014,2
9805056,9711104,3
9805056,9711162,2
9805056,9711165,4
9805056,9712028,4
9805206,9503124,1
9805206,9511030,4
9805206,9602114,3
9805206,9603003,1
9805206,9603161,1
9805206,9603167,4
9805206,9605184,2
9805206,9611137,2
9805206,9612108,4
9805206,9701162,2
9805206,9705030,3
9805206,9705044,3
9805206,9705104,4
9805206,9802194,4
9805206,9805056,1
9806094,9404151,1
9806094,9505105,2
9806094,9507012,4
9806094,9507121,3
9806094,9602114,1
9806094,9603003,1
9806094,9603161,2
9806094,9605033,1
9806094,9605222,4
9806094,9606040,1
9806094,9611137,1
9806094,9701162,3
9806094,9701165,3
9806094,9705104,1
9806094,9802194,3
9806094,9805206,1
9810188,9510017,4
9810188,9511030,3
9810188,9511194,3
9810188,9511222,1
9810188,9512077,2
9810188,9601038,4
9810188,9603167,4
9810188,9605033,4
9810188,9605184,1
9810188,9703157,3
9810188,9704006,1
9810188,9708147,3
9810188,9710206,4
9810188,9710230,4
9810188,9711162,4
9810188,9803194,4
9810188,9805019,3
9810188,9805112,4
9810188,9805170,3
9810188,9806155,1
9810188,9807235,3
9810188,9808141,4
9810188,9809111,2
9811217,9309097,4
9811217,9402119,4
9811217,9407087,2
9811217,9408099,3
9811217,9505054,2
9811217,9507050,2
9811217,9508155,1
9811217,9511030,4
9811217,9601108,3
9811217,9602022,1
9811217,9602114,2
9811217,9603161,1
9811217,9603170,4
9811217,9604030,3
9811217,9604034,3
9811217,9604198,4
9811217,9605033,4
9811217,9605053,2
9811217,9605150,4
9811217,9605184,2
9811217,9605200,3
9811217,9605222,4
9811217,9606122,1
9811217,9607207,2
9811217,9608194,2
9811217,9609239,2
9811217,9610162,3
9811217,9611063,4
9811217,9612108,4
9811217,9701023,1
9811217,9701162,1
9811217,9701165,3
9811217,9702061,4
9811217,9704097,2
9811217,9705030,2
9811217,9705044,4
9811217,9705104,4
9811217,9705220,2
9811217,9706005,1
9811217,9706110,4
9811217,9801139,3
9811217,9802194,1
9811217,9802202,2
9811217,9803224,2
9811217,9804176,4
9811217,9806094,4
9811217,9807096,1
9905036,9308083,1
9905036,9311042,3
9905036,9404060,2
9905036,9404151,1
9905036,9407087,1
9905036,9502072,2
9905036,9505025,3
9905036,9505105,3
9905036,9506112,3
9905036,9508155,4
9905036,9602022,2
9905036,9609111,1
9905036,9611137,4
9905036,9712042,3
9907041,9507158,4
9907041,9605184,2
9907041,9808141,2
9908007,9308083,4
9908007,9403096,4
9908007,9403187,4
9908007,9410167,4
9908007,9503124,3
9908007,9504081,1
9908007,9505105,2
9908007,9505162,2
9908007,9507158,1
9908007,9510106,1
9908007,9610151,2
9908007,9706195,1
9908144,9401139,4
9908144,9503124,3
9908144,9510017,1
9908144,9510135,1
9908144,9510169,1
9908144,9511030,1
9908144,9601038,2
9908144,9602022,4
9908144,9604178,2
9908144,9604198,4
9908144,9610148,2
9908144,9610249,1
9908144,9611050,3
9908144,9611159,2
9908144,9611173,2
9908144,9612080,3
9908144,9708147,1
9908144,9709027,3
9908144,9710230,4
9908144,9711098,3
9908144,9711200,4
9908144,9712028,4
9908144,9712086,2
9908144,9803194,1
9908144,9805019,4
9908144,9805170,2
9908144,9806155,4
9908144,9808141,1
9908144,9809111,4
9908144,9810188,4
9908144,9812135,4
9908144,9901042,1
9908144,9902160,1
9908144,9903123,1
9908144,9904207,3
9908144,9905006,4
9908144,9905195,1
9908144,9908126,3
9909108,9403123,2
9909108,9409188,2
9909108,9410167,2
9909108,9505054,3
9909108,9505162,4
9909108,9507121,3
9909108,9510209,4
9909108,9612126,3
9909108,9710230,1
9909108,9803205,4
9909108,9805112,2
9909108,9807235,2
9909108,9810188,2
9909108,9902098,3
9909108,9903031,1
9909108,9904104,3
9909108,9907189,1
9909108,9907200,2
9909108,9908041,3
9909120,9909108,2
9909229,9408099,2
9909229,9504090,4
9909229,9505105,2
9909229,9505162,2
9909229,9507121,1
9909229,9508155,2
9909229,9511030,4
9909229,9511164,2
9909229,9603167,4
9909229,9605036,3
9909229,9607163,2
9909229,9705030,4
9909229,9705044,3
9909229,9705104,3
9909229,9706195,4
9909229,9802194,2
9909229,9806094,2
9909229,9903224,4
9909229,9907041,1
9909229,9907178,3
9909229,9908142,2
9910238,9503124,4
9910238,9504090,1
9910238,9505105,4
9910238,9505162,4
9910238,9507158,4
9910238,9511030,4
9910238,9606017,2
9910238,9606122,3
9910238,9607163,2
9910238,9607207,2
9910238,9608086,3
9910238,9611063,2
9910238,9611230,4
9910238,9706195,3
9910238,9707042,1
9910238,9802194,2
9910238,9909229,1
9910248,9401139,2
9910248,9404151,1
9910248,9407087,1
9910248,9505105,2
9910248,9506112,4
9910248,9507050,4
9910248,9507158,2
9910248,9508155,4
9910248,9602114,1
9910248,9603161,2
9910248,9607163,2
9910248,9607207,1
9910248,9608086,2
9910248,9609239,2
9910248,9611137,4
9910248,9611230,4
9910248,9701162,1
9910248,9703082,3
9910248,9705104,2
9910248,9707014,2
9910248,9707042,2
9910248,9712042,4
9910248,9802194,2
9910248,9805206,4
9910248,9806094,1
9910248,9907041,3
9910248,9909229,3
9910248,9910238,3
9910268,9503124,3
9910268,9602114,3
9910268,9603161,4
9910268,9604034,2
9910268,9605200,3
9910268,9607163,2
9910268,9607207,4
9910268,9609239,3
9910268,9611063,2
9910268,9701162,2
9910268,9705030,3
9910268,9705044,2
9910268,9705104,1
9910268,9705220,4
9910268,9706005,1
9910268,9706110,4
9910268,9707042,1
9910268,9811217,1
9910268,9909229,2
9910268,9910238,2
9910268,9910248,4
1002,9210123,3
1002,9304062,2
1002,9402089,1
1002,9604090,4
1002,9803235,2
1002,9807051,4
1002,9809015,2
1002,9810063,3
1002,9812035,3
1002,9902125,2
1002,9902155,1
1002,9904017,1
1002,9905012,1
1002,9905210,4
1002,9906064,1
1002,9906194,3
1002,9907070,3
1002,9907209,4
1002,9908076,4
1002,9908116,2
1002,9908186,1
1002,9909001,3
1002,9909041,2
1002,9909053,4
1002,9909058,1
1002,9909121,3
1002,9909134,3
1002,9910149,4
1002,9910219,3
1002,9912012,2
1002,9912118,4
1002,9912132,2
1002,9912187,1
9304062,9210123,2
9402089,9210123,2
9402089,9304062,1
9604090,9210123,3
9604090,9304062,2
9604090,9403058,2
9604090,9412184,3
9604090,9503114,2
9604090,9503124,4
9604090,9507048,1
9604090,9508071,4
9604090,9508094,4
9803235,9506144,1
9803235,9510209,1
9803235,9510227,3
9803235,9511203,3
9803235,9601150,4
9803235,9602070,4
9803235,9603004,3
9803235,9603142,2
9803235,9605033,4
9803235,9605136,1
9803235,9606036,2
9803235,9609209,1
9803235,9610151,3
9803235,9704177,1
9803235,9706195,3
9803235,9710208,3
9807051,9511203,4
9807051,9601150,3
9807051,9604090,1
9807051,9803116,2
9809015,9302126,3
9809015,9512222,4
9809015,9706174,2
9809015,9711161,4
9809015,9711200,2
9809015,9806195,4
9809015,9807137,3
9809015,9807187,3
9809015,9808097,3
9809015,9808149,3
9810063,9607060,3
9810063,9608125,2
9810063,9711200,1
9810063,9802109,4
9810063,9802150,1
9810063,9803171,3
9810063,9806074,1
9810063,9807097,2
9810063,9807098,4
9810063,9808006,4
9810063,9808162,1
9810063,9809122,1
9810063,9809179,4
9812035,9411149,2
9812035,9602136,2
9812035,9608125,4
9812035,9711200,3
9812035,9802109,2
9812035,9802150,4
9812035,9802183,2
9812035,9806087,4
9812035,9807080,2
9812035,9807087,2
9812035,9807164,3
9812035,9810126,3
9812035,9810206,1
9902125,9602070,4
9902125,9603133,3
9902125,9711200,3
9902125,9802109,3
9902125,9802150,1
9902125,9803001,1
9902125,9803002,1
9902125,9803137,3
9902125,9805114,3
9902125,9805129,2
9902125,9809022,3
9902125,9810126,3
9902125,9810206,4
9902125,9811035,4
9902125,9811156,3
9902125,9812017,2
9902125,9812089,3
9902125,9901101,3
9902125,9902012,1
9902125,9902074,4
9902155,9702076,3
9902155,9711200,2
9902155,9802109,2
9902155,9802150,3
9902155,9803001,1
9902155,9803002,3
9902155,9803131,2
9902155,9805140,2
9902155,9806021,1
9902155,9806171,3
9902155,9810126,2
9902155,9810206,1
9902155,9812035,3
9902155,9812089,2
9902155,9902125,1
9904017,9503121,3
9904017,9603167,2
9904017,9708042,3
9904017,9711200,3
9904017,9802042,4
9904017,9802109,4
9904017,9802150,1
9904017,9802183,1
9904017,9803015,4
9904017,9803131,3
9904017,9805114,2
9904017,9806087,1
9904017,9807080,2
9904017,9807164,2
9904017,9807226,1
9904017,9808149,3
9904017,9809022,4
9904017,9810126,1
9904017,9810206,4
9904017,9812035,4
9904017,9812089,1
9904017,9902074,4
9904017,9902125,1
9904017,9902155,1
9904017,9903026,4
9905012,9510209,3
9905012,9603142,4
9905012,9806022,2
9905012,9809124,3
9905012,9811141,2
9905012,9902071,1
9905210,9510209,2
9905210,9602070,1
9905210,9603133,4
9905210,9604090,2
9905210,9609209,3
9905210,9611213,3
9905210,9711200,1
9905210,9803235,3
9905210,9805157,1
9905210,9807051,3
9905210,9809124,3
9905210,9809147,3
9905210,9810155,1
9905210,9811141,4
9905210,9811193,4
9905210,9812093,1
9905210,9812118,3
9905210,9812163,4
