from,to,weight,type
s3974,s117,14,
s3584,s395,10,
s1276,s3913,14,
s3260,s1337,14,
s2086,s1410,13,
s1319,s885,16,
s3599,s2874,12,
s3808,s923,1,
s3557,s2823,6,
s3324,s3174,15,
s1017,s387,6,
s2071,s3335,10,
s295,s3605,12,
s2015,s3907,3,
s2496,s266,15,
s1440,s164,10,
s3181,s778,9,
s938,s3111,4,
s88,s984,1,
s1031,s3986,12,
s1438,s2434,14,
s671,s1867,3,
s63,s1817,11,
s3832,s675,9,
s1909,s1805,5,
s3432,s3930,9,
s3548,s2920,3,
s1085,s3676,6,
s1109,s2535,12,
s2750,s285,3,
s60,s687,4,
s588,s3572,16,
s782,s3854,4,
s3732,s1896,9,
s754,s1652,4,
s1537,s1873,5,
s818,s2294,14,
s1685,s2312,0,
s49,s2808,11,
s435,s2211,10,
s129,s2400,15,
s3376,s434,5,
s2384,s2690,5,
s2602,s1254,13,
s1781,s3633,15,
s2140,s3409,10,
s259,s3873,10,
s597,s129,1,
s3603,s3942,13,
s2783,s52,12,
s2169,s2775,3,
s418,s957,1,
s2936,s3980,11,
s689,s633,15,
s990,s3354,2,
s366,s907,10,
s1347,s2581,12,
s2470,s3522,6,
s2710,s3676,5,
s2820,s222,2,
s2316,s1967,16,
s1169,s538,2,
s3996,s178,13,
s1802,s3529,5,
s1673,s2070,13,
s3885,s3948,4,
s1053,s1722,12,
s125,s2141,4,
s3457,s1810,5,
s958,s905,4,
s2173,s3326,15,
s2247,s363,14,
s1848,s3619,12,
s220,s2204,15,
s1325,s1534,11,
s1359,s154,10,
s2398,s1183,9,
s440,s2228,7,
s2542,s3635,3,
s3958,s3212,7,
s3547,s742,15,
s2783,s2485,2,
s2030,s1270,5,
s3114,s250,0,
s1091,s3604,8,
s4,s451,4,
s645,s3688,4,
s155,s210,12,
s858,s1693,8,
s1635,s1396,10,
s3604,s243,12,
s306,s3025,2,
s236,s2911,14,
s553,s3706,14,
s578,s1206,12,
s1193,s3370,14,
s789,s1177,10,
s824,s1010,1,
s2747,s3046,9,
s2973,s1819,1,
s2959,s1185,8,
s686,s2899,11,
s3407,s1848,7,
s552,s527,6,
s2342,s3355,1,
s141,s1822,0,
s2763,s2852,13,
s1331,s1597,12,
s700,s2381,1,
s3230,s2855,16,
s639,s427,1,
s1359,s3,4,
s929,s3798,11,
s503,s3590,9,
s2868,s1794,0,
s3756,s1735,11,
s1595,s3814,6,
s1925,s1349,5,
s3729,s816,7,
s3307,s51,4,
s918,s1169,4,
s3371,s2446,8,
s2578,s2105,11,
s1590,s1427,14,
s2800,s3173,10,
s2449,s1816,7,
s2828,s2310,2,
s3575,s3573,12,
s908,s2019,14,
s2368,s3157,16,
s2632,s1700,16,
s1805,s485,9,
s1721,s3089,15,
s402,s3940,8,
s1570,s2417,5,
s2882,s1228,2,
s1446,s2037,15,
s1775,s1398,0,
s3047,s2078,7,
s3041,s3340,6,
s1517,s2341,0,
s2522,s103,2,
s912,s2263,9,
s13,s3681,7,
s2752,s2307,11,
s2643,s3587,8,
s3527,s1926,4,
s1524,s1150,15,
s2973,s2223,5,
s414,s2746,15,
s2940,s3550,6,
s842,s3242,4,
s3154,s476,9,
s1386,s3115,9,
s2186,s2843,7,
s1818,s287,16,
s2324,s1964,0,
s3285,s1104,10,
s2580,s911,6,
s3198,s550,2,
s1770,s2302,6,
s50,s243,3,
s479,s161,15,
s3032,s2905,13,
s1497,s3565,15,
s341,s1525,14,
s2580,s758,13,
s2049,s2013,7,
s2037,s3292,1,
s2990,s3103,10,
s1500,s2682,9,
s806,s2403,14,
s1003,s2997,1,
s889,s1232,7,
s95,s1985,10,
s1754,s2979,14,
s2965,s2233,12,
s319,s393,3,
s2273,s14,8,
s2349,s349,13,
s163,s2649,13,
s158,s3776,4,
s643,s2749,1,
s2820,s820,10,
s1867,s1867,3,
s844,s7,1,
s506,s3812,2,
s1802,s3344,16,
s3029,s2847,15,
s577,s2816,11,
s2839,s3197,7,
s140,s1368,7,
s13,s2553,11,
s187,s1608,11,
s1084,s2151,0,
s1994,s2065,14,
s3437,s3265,12,
s2627,s453,2,
s1439,s2291,13,
s3121,s3071,11,
s1134,s541,12,
s1013,s3157,14,
s1094,s2883,2,
s205,s94,15,
s2356,s2472,7,
s1382,s1021,15,
s166,s3477,2,
s2115,s2724,16,
s1020,s739,2,
s3943,s1395,15,
s128,s486,1,
s964,s30,12,
s3435,s1553,10,
s3822,s3216,6,
s65,s3546,13,
s421,s3885,15,
s1852,s2345,16,
s2076,s2142,13,
s1726,s993,1,
s2195,s1155,9,
s2669,s844,14,
s2593,s1922,3,
s3026,s1244,3,
s76,s2535,15,
s2895,s3166,13,
s3173,s686,8,
s604,s2437,2,
s3408,s3562,0,
s1360,s1560,0,
s392,s1902,11,
s2433,s2100,10,
s862,s525,3,
s1935,s2468,6,
s785,s3252,13,
s1506,s998,9,
s2499,s569,4,
s2371,s169,11,
s1421,s2091,9,
s2754,s1601,15,
s1396,s1185,12,
s1776,s3534,9,
s2358,s2973,0,
s3936,s3323,14,
s3652,s3614,15,
s2096,s1604,11,
s2460,s745,15,
s3988,s1666,0,
s2745,s3951,5,
s354,s2083,6,
s1959,s2444,1,
s1489,s1532,13,
s2145,s117,14,
s1978,s1758,13,
s578,s882,0,
s3423,s2615,14,
s425,s2096,12,
s108,s1817,5,
s348,s2818,12,
s1722,s3396,5,
s3382,s1504,15,
s1502,s1472,7,
s3953,s2220,12,
s2836,s1860,1,
s3316,s3811,2,
s2578,s3099,5,
s559,s2073,9,
s1291,s3790,7,
s3667,s3343,14,
s3604,s934,14,
s2554,s885,14,
s3119,s1103,1,
s2969,s3220,11,
s2350,s3525,9,
s633,s1603,13,
s284,s2680,5,
s1658,s1721,7,
s238,s3516,7,
s2290,s389,1,
s1655,s1438,7,
s2508,s1432,13,
s2617,s868,5,
s2329,s302,6,
s687,s3235,14,
s159,s2528,7,
s3031,s1184,8,
s431,s270,13,
s3003,s2715,11,
s1297,s2510,14,
s2082,s3383,10,
s270,s65,4,
s2867,s1010,8,
s1991,s1648,14,
s3859,s3364,9,
s2441,s2653,0,
s3829,s2961,12,
s3743,s2270,14,
s435,s2289,7,
s2552,s2014,1,
s2430,s3335,13,
s42,s510,1,
s1028,s106,6,
s1946,s3480,7,
s1417,s684,2,
s1694,s252,14,
s658,s2613,10,
s2108,s353,10,
s2096,s2378,10,
s3889,s619,8,
s3041,s2438,13,
s3327,s832,1,
s3653,s285,16,
s2570,s1348,1,
s2268,s3705,11,
s2654,s3358,14,
s3189,s2562,2,
s153,s225,6,
s2143,s2336,8,
s3893,s432,13,
s1858,s1396,16,
s2223,s477,2,
s1546,s1380,5,
s197,s2054,3,
s3906,s1274,10,
s719,s2515,10,
s236,s3696,4,
s381,s2523,16,
s1280,s581,5,
s1643,s2169,7,
s3727,s3152,15,
s3899,s2241,13,
s1302,s2301,4,
s3859,s2144,1,
s2989,s3649,11,
s3864,s2352,9,
s1196,s964,1,
s1104,s851,13,
s663,s681,12,
s1931,s2611,11,
s1145,s3483,3,
s278,s3984,1,
s2054,s847,9,
s3084,s3800,2,
s668,s522,9,
s3007,s2798,11,
s3656,s3629,8,
s1985,s602,11,
s2718,s1923,16,
s3356,s532,13,
s977,s2601,14,
s2238,s3316,9,
s1008,s430,10,
s3919,s1434,11,
s1603,s2283,14,
s3566,s2893,8,
s484,s1320,2,
s571,s1640,2,
s355,s3120,15,
s3255,s547,10,
s2673,s3373,0,
s2948,s3409,14,
s3362,s741,6,
s1250,s477,0,
s3439,s3741,6,
s571,s2067,1,
s3021,s3287,5,
s2305,s1209,15,
s2356,s195,11,
s1401,s1557,11,
s506,s2894,10,
s17,s1206,16,
s1938,s2169,8,
s1845,s388,13,
s3383,s1281,13,
s3431,s3175,0,
s662,s3632,1,
s2199,s850,11,
s1849,s1901,12,
s1872,s1405,11,
s3431,s916,4,
s1396,s853,16,
s2758,s1159,15,
s1720,s504,1,
s2464,s2645,7,
s1244,s1825,5,
s3271,s184,15,
s693,s3282,13,
s2003,s1672,13,
s2935,s3434,14,
s566,s3760,13,
s357,s1360,10,
s1316,s2452,10,
s3542,s3841,10,
s2568,s2491,3,
s2138,s1710,14,
s230,s2834,1,
s2445,s3441,5,
s191,s247,0,
s319,s2542,6,
s509,s3060,0,
s1286,s1150,8,
s503,s1967,16,
s443,s1349,8,
s1047,s1903,13,
s601,s3042,10,
s1458,s3818,16,
s283,s3145,6,
s3121,s3292,5,
s2687,s77,1,
s1514,s1188,15,
s3125,s3971,2,
s1771,s128,7,
s3596,s992,15,
s2139,s390,13,
s335,s1878,7,
s3376,s3700,7,
s260,s2733,7,
s3315,s792,7,
s2278,s3409,8,
s3086,s1799,0,
s3470,s3349,8,
s2368,s3132,6,
s2290,s3583,9,
s693,s3528,1,
s3246,s326,14,
s988,s3902,10,
s815,s1872,7,
s2230,s776,14,
s502,s727,4,
s415,s1423,12,
s1536,s1483,0,
s802,s37,2,
s484,s2667,15,
s2505,s505,13,
s2965,s1787,8,
s293,s618,11,
s270,s1160,11,
s2162,s1748,16,
s212,s252,16,
s2183,s378,3,
s577,s730,10,
s3352,s2239,14,
s3452,s200,6,
s1894,s3123,1,
s1105,s1520,11,
s621,s690,13,
s1869,s2154,14,
s1371,s3160,1,
s3890,s954,12,
s2851,s3191,4,
s2252,s1863,0,
s78,s912,4,
s2861,s2852,7,
s829,s2176,11,
s1515,s172,8,
s3039,s3155,11,
s534,s1754,13,
s1051,s3643,12,
s1325,s1375,5,
s2780,s1580,6,
s34,s290,16,
s1257,s138,3,
s2863,s1198,5,
s3681,s3840,4,
s1501,s56,3,
s3949,s2072,2,
s267,s726,10,
s1368,s916,15,
s3905,s145,9,
s1075,s1869,5,
s3775,s2938,13,
s725,s1077,9,
s3370,s2454,15,
s2591,s2249,14,
s2579,s2089,15,
s3317,s1594,2,
s2990,s3523,6,
s567,s2967,8,
s1632,s274,0,
s2332,s3629,8,
s1554,s2244,16,
s210,s1408,0,
s1204,s3438,8,
s337,s303,13,
s3775,s341,8,
s2121,s2056,5,
s3418,s2642,1,
s3008,s2370,2,
s1723,s2460,15,
s3136,s3070,12,
s2816,s1976,15,
s2931,s3240,11,
s1052,s2540,10,
s2041,s980,15,
s2201,s3409,12,
s3572,s3729,12,
s446,s3519,0,
s3966,s2806,4,
s2985,s1842,5,
s426,s2203,9,
s797,s824,15,
s497,s2623,8,
s3399,s2175,16,
s151,s2171,16,
s38,s3932,5,
s3258,s2607,3,
s932,s1952,16,
s724,s1504,9,
s1296,s979,7,
s3252,s1121,2,
s2867,s1480,14,
s1488,s2239,0,
s3184,s1416,10,
s253,s96,15,
s1610,s36,9,
s1619,s689,14,
s1041,s2274,2,
s2944,s2368,2,
s3149,s2414,10,
s2482,s3745,7,
s1482,s2885,1,
s1256,s690,13,
s2323,s2198,13,
s3031,s875,3,
s1968,s2386,7,
s1100,s1593,13,
s3688,s1873,5,
s1400,s3846,3,
s372,s3486,0,
s2201,s2,10,
s2458,s233,5,
s3066,s1963,16,
s1456,s1978,2,
s1929,s3448,9,
s2232,s1833,2,
s201,s2934,7,
s930,s1480,0,
s2758,s93,14,
s541,s3243,8,
s701,s529,11,
s2178,s2526,10,
s2562,s924,14,
s3794,s2856,5,
s2708,s313,0,
s1912,s34,5,
s2047,s962,14,
s346,s3972,15,
s1295,s2625,15,
s3790,s360,13,
s1534,s3284,7,
s3440,s1212,16,
s3795,s1691,8,
s3917,s52,10,
s2607,s3396,2,
s3315,s436,7,
s1509,s3998,7,
s3723,s624,9,
s1276,s69,4,
s3498,s745,9,
s490,s2217,14,
s1673,s3281,4,
s2842,s3942,10,
s3019,s2360,4,
s2561,s2734,8,
s2819,s2612,9,
s3573,s3619,13,
s1662,s3058,11,
s455,s1395,11,
s2760,s3575,11,
s3519,s2750,12,
s776,s837,16,
s46,s1658,6,
s817,s318,8,
s3549,s3348,3,
s42,s1423,10,
s1218,s2216,8,
s3254,s588,4,
s406,s2611,15,
s2543,s2378,3,
s3105,s43,3,
s2819,s3331,16,
s3040,s2641,8,
s1133,s3863,6,
s669,s2206,12,
s529,s226,0,
s561,s1119,15,
s1132,s3920,11,
s2776,s943,11,
s921,s929,5,
s1735,s228,9,
s2571,s3318,11,
s1476,s2279,11,
s2667,s2771,3,
s3613,s686,6,
s1544,s3324,0,
s253,s466,0,
s836,s352,1,
s3763,s3115,16,
s2982,s2518,14,
s3981,s509,7,
s2246,s2916,8,
s3648,s1918,0,
s1137,s1802,16,
s2531,s1734,13,
s2889,s2160,13,
s1215,s3701,12,
s2886,s281,6,
s3703,s3544,2,
s502,s3109,14,
s3675,s1598,9,
s2135,s1202,15,
s1958,s3804,1,
s3452,s2992,9,
s2241,s2721,9,
s1522,s2748,6,
s3213,s1844,9,
s2851,s1741,14,
s585,s1072,16,
s1705,s3941,3,
s3629,s1768,1,
s2117,s3555,14,
s3912,s3682,7,
s1653,s2932,11,
s3075,s3180,8,
s2980,s2944,6,
s1149,s2600,8,
s2653,s368,0,
s138,s1506,8,
s1631,s1467,12,
s2942,s3230,5,
s3835,s659,6,
s3382,s322,7,
s2822,s2188,0,
s70,s2826,2,
s646,s2454,8,
s3703,s2753,8,
s52,s2737,5,
s645,s3691,8,
s1106,s2146,0,
s2191,s2037,4,
s964,s486,10,
s3501,s2544,6,
s796,s1816,7,
s1561,s3070,15,
s676,s2857,4,
s989,s2225,3,
s2218,s1126,14,
s2175,s266,6,
s2893,s1072,16,
s3028,s1058,16,
s3768,s464,15,
s63,s1496,0,
s2044,s1809,4,
s955,s1324,4,
s3062,s1086,0,
s1155,s356,6,
s2658,s2645,16,
s2743,s2653,7,
s469,s784,16,
s3842,s2858,13,
s1439,s3489,1,
s626,s2023,9,
s1161,s3107,2,
s1696,s1004,15,
s2485,s3242,2,
s3501,s1806,10,
s3569,s134,13,
s742,s2807,15,
s1633,s1755,8,
s1708,s2818,13,
s1595,s1861,3,
s838,s2891,13,
s876,s813,15,
s3078,s884,13,
s3819,s1817,9,
s1398,s1055,9,
s2599,s2602,16,
s3344,s2637,7,
s1186,s3635,6,
s1711,s363,8,
s285,s1896,4,
s1293,s962,6,
s2339,s1835,4,
s1290,s3592,10,
s3593,s998,1,
s348,s3468,14,
s2265,s3377,0,
s3904,s3963,8,
s784,s3181,3,
s2598,s1979,16,
s1213,s3800,10,
s2276,s3895,13,
s3729,s3917,2,
s331,s562,4,
s573,s2338,16,
s2981,s3752,1,
s3296,s3386,10,
s720,s1013,13,
s703,s3028,0,
s1644,s2485,13,
s794,s1067,16,
s2511,s582,14,
s2763,s3487,14,
s3800,s2437,9,
s346,s1622,16,
s1027,s311,3,
s2383,s1968,12,
s538,s2123,15,
s3250,s273,12,
s3318,s482,15,
s421,s957,11,
s1657,s1125,15,
s1917,s2928,1,
s1585,s3068,0,
s1463,s1876,13,
s2411,s486,15,
s2905,s3455,3,
s3688,s1423,9,
s1835,s1097,4,
s3765,s3452,7,
s633,s2853,15,
s327,s46,0,
s1985,s644,16,
s1065,s3220,1,
s384,s829,16,
s2661,s2731,2,
s1762,s3309,4,
s2819,s2914,15,
s3185,s1209,4,
s3276,s2476,15,
s156,s3902,8,
s2631,s2213,11,
s203,s2716,7,
s2730,s2019,4,
s112,s1067,2,
s2592,s2224,5,
s378,s1723,0,
s575,s2501,9,
s2166,s2264,9,
s2432,s3372,16,
s3216,s3129,12,
s3019,s922,9,
s30,s2016,0,
s2073,s1506,13,
s3931,s37,14,
s988,s1147,0,
s2944,s3942,13,
s510,s2333,1,
s87,s25,10,
s2105,s545,6,
s1814,s898,7,
s3712,s1652,11,
s2123,s3704,7,
s1494,s545,5,
s2509,s464,12,
s2095,s45,5,
s185,s2860,16,
s477,s1469,8,
s804,s288,2,
s1684,s3750,13,
s1782,s3522,6,
s3484,s2238,2,
s2164,s2335,13,
s3600,s2006,7,
s2657,s780,5,
s1337,s518,15,
s3062,s2919,15,
s764,s3576,9,
s2873,s1883,13,
s247,s2601,8,
s1642,s3919,6,
s1957,s2992,9,
s3982,s958,10,
s2220,s3010,2,
s316,s3289,3,
s235,s3855,2,
s1153,s3970,7,
s2057,s139,9,
s73,s1788,0,
s1533,s3641,4,
s3408,s1742,4,
s1197,s2126,13,
s1160,s471,6,
s3100,s1935,6,
s2545,s2434,10,
s1103,s3425,6,
s1421,s1017,12,
s1298,s1071,7,
s2887,s501,0,
s1517,s3158,15,
s2607,s951,4,
s3509,s2463,15,
s1594,s178,9,
s2270,s184,12,
s3762,s3219,3,
s389,s2961,10,
s3432,s1302,5,
s2552,s3385,5,
s2183,s1357,0,
s71,s3625,7,
s705,s1807,16,
s103,s879,1,
s376,s2225,16,
s36,s866,6,
s2584,s3195,8,
s2100,s2759,10,
s488,s580,3,
s1194,s3992,6,
s3933,s1283,2,
s1269,s2137,9,
s1728,s1172,16,
s1542,s2375,13,
s3471,s2811,10,
s3487,s3939,10,
s2893,s3588,13,
s1284,s536,12,
s2006,s2592,6,
s2189,s57,7,
s1516,s3802,5,
s652,s3525,2,
s3415,s1014,5,
s1107,s1857,10,
s272,s3085,9,
s3138,s2586,16,
s3560,s1188,13,
s2540,s3717,2,
s2659,s3190,13,
s3425,s3300,3,
s299,s2389,11,
s548,s3273,6,
s1233,s889,5,
s3836,s398,14,
s2655,s85,1,
s1707,s1188,4,
s1708,s2744,5,
s1562,s175,16,
s3481,s2989,2,
s3935,s435,1,
s3024,s1789,6,
s2548,s1896,12,
s3833,s3365,1,
s2108,s721,3,
s1807,s2602,6,
s3669,s2098,2,
s1441,s3772,11,
s619,s3978,7,
s79,s2567,8,
s3638,s2077,15,
s2344,s3981,0,
s3596,s2070,7,
s599,s1839,9,
s572,s1947,15,
s244,s1353,3,
s2666,s394,16,
s1874,s2207,14,
s2487,s579,11,
s2446,s3956,3,
s3810,s306,8,
s1203,s708,4,
s257,s1434,2,
s919,s519,5,
s3319,s2946,16,
s2751,s3144,10,
s2872,s3029,5,
s2079,s3849,9,
s830,s2420,9,
s3313,s2753,9,
s2786,s3490,2,
s990,s721,8,
s2793,s1460,9,
s1023,s2623,10,
s3363,s2477,15,
s2851,s2659,5,
s3065,s1246,8,
s2211,s472,10,
s2629,s3654,12,
s433,s1485,15,
s2509,s2384,8,
s828,s3737,5,
s2380,s1416,2,
s1906,s2534,11,
s3210,s2147,5,
s3290,s3316,14,
s3899,s2653,10,
s3083,s2476,14,
s2894,s1181,3,
s2049,s1672,13,
s656,s1062,2,
s119,s3391,0,
s3549,s2698,4,
s2734,s3737,14,
s704,s3583,15,
s3895,s3814,10,
s367,s2385,3,
s3518,s1430,9,
s1304,s3848,11,
s3246,s2917,10,
s2588,s2890,15,
s2741,s457,0,
s1176,s3751,6,
s3634,s2337,15,
s2990,s340,0,
s2850,s359,0,
s3317,s3281,2,
s3366,s857,11,
s745,s1484,11,
s3047,s412,13,
s3538,s1295,13,
s492,s1898,13,
s1985,s3618,5,
s3999,s3641,6,
s2403,s2470,14,
s1696,s1510,16,
s481,s1901,3,
s1025,s1637,5,
s2055,s2072,7,
s2728,s2489,0,
s3579,s6,0,
s650,s3462,2,
s3817,s2446,4,
s2670,s3905,4,
s697,s1594,8,
s3552,s3538,1,
s2235,s2304,15,
s1911,s3664,16,
s2247,s1568,0,
s2649,s3806,10,
s2934,s1364,9,
s2934,s3432,11,
s611,s3954,1,
s1890,s3467,9,
s2393,s2314,7,
s2,s1626,4,
s3498,s2561,15,
s707,s2896,4,
s100,s65,8,
s909,s3012,4,
s1064,s2568,3,
s1673,s2544,2,
s2041,s3770,7,
s1310,s2703,5,
s1444,s234,14,
s1092,s3521,10,
s151,s1123,11,
s2334,s2570,6,
s2542,s2527,2,
s2072,s3454,12,
s3036,s3575,14,
s342,s1997,15,
s1614,s3793,4,
s3608,s3922,2,
s1630,s1737,16,
s2017,s2996,1,
s1682,s1581,7,
s1620,s3466,7,
s1740,s3912,15,
s2181,s2719,9,
s411,s1373,0,
s476,s3550,3,
s2703,s3236,0,
s3716,s1259,4,
s3693,s3609,9,
s3877,s1059,16,
s448,s2359,7,
s1337,s600,7,
s3354,s229,12,
s2032,s3511,15,
s1869,s8,6,
s2150,s2080,0,
s1201,s2878,4,
s2963,s722,14,
s3797,s2194,5,
s1714,s3575,6,
s1936,s2549,9,
s2744,s1006,16,
s2308,s3466,0,
s247,s3948,11,
s1836,s1606,10,
s1386,s988,11,
s853,s2886,7,
s1505,s2532,4,
s1281,s1674,2,
s1815,s1611,8,
s3082,s1601,12,
s1339,s3894,14,
s1667,s400,5,
s2423,s2013,2,
s3762,s2595,12,
s3562,s2288,0,
s2791,s498,1,
s3603,s3183,6,
s927,s1670,7,
s2021,s3244,2,
s2487,s3787,6,
s1065,s3565,16,
s2377,s2075,15,
s1764,s3095,16,
s1240,s2126,12,
s2709,s3256,7,
s3020,s2548,15,
s2268,s3144,10,
s2465,s3289,4,
s2642,s29,10,
s2466,s1603,13,
s2900,s3968,6,
s2275,s1680,14,
s102,s3388,3,
s1894,s1768,8,
s3161,s971,6,
s2520,s2446,10,
s836,s1273,2,
s590,s3761,10,
s1558,s826,8,
s3922,s3805,14,
s211,s3499,1,
s43,s3907,0,
s296,s259,7,
s2057,s3246,15,
s1909,s2727,8,
s2758,s701,16,
s1813,s703,0,
s1320,s2860,16,
s747,s1904,1,
s2850,s100,16,
s3171,s2119,12,
s2972,s2355,11,
s3036,s1669,2,
s2225,s3905,11,
s302,s1555,8,
s2850,s3878,9,
s860,s2703,16,
s2173,s1039,16,
s2139,s2552,9,
s500,s70,13,
s3858,s1197,16,
s2813,s1050,7,
s3601,s3780,16,
s216,s3525,14,
s570,s3270,7,
s2297,s9,14,
s1167,s2720,6,
s2382,s34,5,
s210,s1459,7,
s547,s1413,16,
s1249,s2635,16,
s700,s790,4,
s1241,s1391,8,
s1403,s3418,14,
s3603,s2294,7,
s63,s1460,0,
s698,s1668,3,
s1959,s899,12,
s335,s3080,0,
s24,s2072,16,
s2158,s1403,9,
s2515,s2411,0,
s3564,s183,16,
s3961,s1630,2,
s168,s2599,4,
s2132,s3222,9,
s36,s3976,8,
s3475,s3483,8,
s2227,s983,12,
s1852,s3558,10,
s2447,s2252,16,
s997,s80,13,
s1278,s3647,10,
s3714,s3490,6,
s1365,s2625,4,
s1067,s1890,1,
s1505,s2633,10,
s2585,s3385,14,
s261,s2697,15,
s1641,s366,10,
s1055,s2789,1,
s2002,s1261,12,
s3085,s2994,15,
s3099,s961,1,
s2164,s946,13,
s119,s2068,16,
s1866,s2091,2,
s2050,s2478,16,
