from,to,weight,type
s162,s197,4,
s16,s124,14,
s46,s175,1,
s54,s79,16,
s44,s25,5,
s149,s92,4,
s14,s24,1,
s111,s49,9,
s193,s43,15,
s196,s178,5,
s52,s189,20,
s40,s195,9,
s3,s26,20,
s31,s132,7,
s8,s65,7,
s24,s5,7,
s116,s150,0,
s58,s37,8,
s49,s94,1,
s172,s75,0,
s22,s110,9,
s88,s119,17,
s90,s68,0,
s186,s155,4,
s32,s2,10,
s24,s3,0,
s179,s84,13,
s163,s17,11,
s65,s24,10,
s102,s118,1,
s54,s58,7,
s16,s172,4,
s124,s170,16,
s102,s200,14,
s106,s184,9,
s125,s68,16,
s79,s36,18,
s35,s195,8,
s192,s23,5,
s140,s123,11,
s161,s124,11,
s182,s181,8,
s47,s200,1,
s144,s157,9,
s55,s75,9,
s146,s75,16,
s38,s25,7,
s130,s86,9,
s185,s80,7,
s59,s156,20,
s182,s131,13,
s170,s55,1,
s23,s85,15,
s190,s118,13,
s154,s15,9,
s172,s164,2,
s122,s162,20,
s139,s144,11,
s84,s184,4,
s2,s93,20,
s34,s30,15,
s87,s12,11,
s37,s180,13,
s32,s31,3,
s67,s12,2,
s174,s160,5,
s128,s76,1,
s187,s94,6,
s164,s74,1,
s69,s161,4,
s163,s154,16,
s108,s114,1,
s21,s37,12,
s38,s131,8,
s52,s81,18,
s114,s83,20,
s146,s41,2,
s4,s112,7,
s93,s16,7,
s108,s122,20,
s10,s102,11,
s133,s92,17,
s27,s120,3,
s27,s142,2,
s134,s37,1,
s63,s90,15,
s33,s125,4,
s71,s112,2,
s39,s88,7,
s18,s190,10,
s108,s65,14,
s96,s179,9,
s184,s95,8,
s149,s151,7,
s106,s155,11,
s6,s67,17,
s68,s48,12,
s125,s72,5,
s52,s30,0,
s139,s177,7,
s165,s79,1,
s120,s186,11,
s197,s14,7,
s108,s41,8,
s17,s115,13,
s167,s8,0,
s22,s101,14,
s32,s49,12,
s178,s57,14,
s121,s96,2,
s32,s91,2,
s8,s198,10,
s154,s147,20,
s60,s194,16,
s21,s123,10,
s173,s28,15,
s40,s113,16,
s21,s160,11,
s139,s130,11,
s95,s97,17,
s58,s48,17,
s17,s25,8,
s127,s106,3,
s178,s63,18,
s176,s177,19,
s180,s75,12,
s194,s28,19,
s156,s77,9,
s82,s8,15,
s86,s75,12,
s42,s108,8,
s178,s57,16,
s87,s198,19,
s78,s123,7,
s8,s46,11,
s145,s100,7,
s26,s129,8,
s6,s160,16,
s137,s190,15,
s160,s74,12,
s66,s135,19,
s45,s174,17,
s51,s141,13,
s99,s108,3,
s37,s43,0,
s139,s186,16,
s55,s7,4,
s67,s52,12,
s25,s166,18,
s150,s155,12,
s149,s129,14,
s74,s45,8,
s40,s63,13,
s51,s21,9,
s73,s71,12,
s187,s52,20,
s134,s174,6,
s192,s99,5,
s152,s59,3,
