from,to,weight,type
s254,s98,7,
s288,s258,10,
s275,s248,2,
s341,s125,17,
s58,s399,4,
s6,s68,14,
s124,s279,6,
s380,s182,8,
s91,s265,8,
s202,s304,15,
s152,s79,12,
s316,s379,3,
s372,s60,9,
s42,s357,3,
s382,s365,0,
s214,s258,1,
s335,s63,14,
s355,s149,16,
s345,s161,12,
s237,s15,14,
s83,s27,20,
s216,s216,10,
s107,s209,8,
s39,s102,3,
s297,s173,6,
s11,s373,5,
s71,s386,20,
s311,s120,15,
s279,s259,3,
s347,s86,10,
s322,s158,3,
s352,s288,11,
s48,s221,9,
s244,s174,3,
s127,s103,19,
s124,s322,2,
s398,s322,19,
s125,s275,18,
s221,s162,2,
s386,s24,19,
s117,s235,5,
s83,s202,0,
s150,s72,16,
s76,s242,5,
s349,s229,17,
s252,s347,0,
s93,s399,14,
s304,s144,1,
s84,s24,3,
s14,s138,12,
s300,s126,7,
s398,s230,18,
s230,s284,2,
s326,s39,18,
s49,s165,13,
s224,s84,4,
s290,s258,11,
s397,s155,9,
s348,s323,4,
s360,s72,17,
s371,s328,2,
s398,s376,15,
s190,s9,7,
s331,s314,11,
s31,s222,11,
s330,s276,16,
s376,s149,2,
s259,s74,13,
s343,s206,7,
s229,s217,8,
s310,s354,12,
s377,s209,15,
s356,s32,19,
s322,s276,1,
s48,s131,0,
s312,s314,2,
s291,s178,5,
s97,s368,16,
s116,s56,13,
s22,s388,12,
s261,s189,14,
s34,s294,13,
s250,s351,14,
s102,s63,6,
s205,s172,6,
s298,s76,4,
s109,s148,11,
s144,s23,19,
s319,s128,16,
s267,s399,19,
s266,s380,20,
s250,s56,10,
s105,s343,6,
s137,s167,5,
s143,s114,3,
s248,s151,2,
s345,s275,8,
s335,s206,2,
s394,s174,15,
s69,s2,1,
s275,s222,7,
s40,s323,17,
s228,s338,5,
s221,s189,8,
s357,s258,0,
s66,s185,15,
s145,s253,16,
s251,s81,1,
s369,s270,17,
s166,s304,16,
s110,s196,2,
s341,s218,4,
s46,s76,18,
s251,s245,9,
s319,s322,9,
s207,s37,6,
s116,s23,10,
s304,s387,3,
s187,s264,20,
s116,s267,7,
s138,s18,12,
s96,s157,10,
s286,s232,0,
s105,s53,10,
s310,s283,4,
s329,s207,4,
s162,s149,11,
s307,s197,12,
s248,s102,17,
s46,s296,4,
s1,s125,15,
s336,s117,1,
s28,s398,11,
s3,s14,0,
s370,s191,14,
s203,s232,2,
s66,s350,5,
s272,s262,10,
s391,s111,11,
s225,s339,4,
s20,s85,4,
s356,s231,20,
s248,s319,20,
s168,s398,7,
s395,s15,18,
s227,s274,12,
s375,s65,0,
s199,s372,7,
s102,s40,13,
s387,s328,11,
s216,s320,18,
s23,s236,13,
s289,s323,15,
s345,s81,4,
s292,s20,3,
s209,s26,18,
s230,s177,11,
s250,s44,6,
s66,s60,3,
s345,s350,15,
s378,s309,18,
s163,s255,14,
s249,s255,20,
s383,s224,18,
s95,s123,1,
s258,s181,2,
s397,s260,9,
s255,s286,19,
s265,s336,5,
s70,s119,20,
s156,s200,20,
s230,s379,7,
s343,s260,12,
s250,s289,9,
s205,s214,12,
s124,s332,15,
s57,s292,17,
s152,s299,0,
s126,s73,20,
s344,s217,18,
s224,s364,11,
s225,s72,17,
s224,s85,1,
s342,s150,2,
s15,s161,11,
s81,s390,19,
s376,s156,19,
s285,s228,4,
s132,s260,18,
s375,s394,18,
s107,s197,7,
s326,s256,10,
s139,s314,5,
s155,s207,6,
s350,s368,16,
s302,s254,13,
s343,s288,12,
s369,s340,20,
s288,s269,4,
s36,s203,2,
s117,s292,18,
s34,s88,18,
s158,s163,14,
s133,s117,18,
s215,s135,2,
s147,s10,13,
s250,s164,10,
s268,s368,16,
s163,s37,10,
s133,s217,15,
s336,s166,18,
s64,s271,10,
s126,s302,19,
s148,s237,18,
s189,s341,7,
s381,s260,14,
s288,s199,12,
s228,s89,16,
s101,s396,12,
s283,s174,10,
s397,s177,16,
s350,s278,19,
s106,s43,1,
s181,s245,9,
s213,s3,9,
s97,s308,18,
s155,s331,1,
s377,s60,18,
s321,s378,1,
s155,s391,17,
s104,s102,19,
s310,s234,15,
s83,s310,5,
s63,s100,19,
s279,s27,13,
s316,s254,6,
s384,s329,1,
s218,s399,2,
s26,s357,5,
s373,s326,1,
s117,s352,2,
s151,s283,11,
s264,s83,2,
s217,s35,18,
s299,s59,12,
s393,s213,9,
s382,s155,10,
s38,s84,16,
s224,s224,18,
s254,s37,20,
s217,s352,6,
s390,s196,12,
s317,s195,7,
s345,s170,19,
s202,s331,13,
s18,s10,3,
s53,s330,17,
s17,s265,4,
s206,s110,6,
s92,s181,2,
s73,s261,17,
s333,s234,15,
s239,s236,1,
s194,s89,15,
s365,s66,14,
s138,s200,19,
s244,s365,20,
s390,s273,18,
s254,s358,14,
s156,s155,7,
s329,s134,20,
s290,s330,6,
s59,s63,7,
s168,s171,14,
s100,s317,17,
s17,s256,16,
s260,s286,16,
s107,s331,20,
s396,s243,12,
s368,s352,16,
s316,s346,19,
s156,s359,13,
s143,s163,0,
s282,s227,0,
s303,s103,15,
s53,s84,17,
s23,s287,0,
s235,s59,7,
s88,s349,15,
s327,s283,0,
s257,s67,9,
s339,s373,20,
s74,s364,17,
s147,s58,17,
s292,s26,8,
s20,s18,1,
s144,s5,8,
s270,s127,20,
s81,s356,12,
s63,s138,16,
s204,s347,18,
s261,s394,18,
s324,s98,9,
s368,s151,0,
s289,s192,9,
s246,s293,4,
s350,s16,12,
s130,s83,1,
s85,s324,16,
s327,s235,16,
s117,s137,11,
s117,s246,14,
s318,s192,8,
s345,s251,10,
s194,s178,10,
s227,s54,3,
s32,s136,9,
s301,s255,3,
s94,s133,12,
s329,s180,1,
s57,s86,19,
s160,s166,7,
s242,s55,2,
s315,s329,18,
s97,s252,5,
s265,s177,6,
s208,s396,1,
s199,s355,14,
s329,s345,12,
s135,s310,16,
s186,s174,4,
s243,s166,10,
s215,s276,10,
s32,s56,0,
s70,s69,12,
s107,s59,5,
s387,s254,20,
s365,s231,4,
s147,s200,15,
s154,s70,18,
s201,s328,2,
s266,s17,4,
s85,s202,10,
s65,s400,10,
s84,s158,15,
s145,s332,2,
s48,s25,6,
s333,s250,8,
s363,s179,9,
s175,s151,11,
s203,s153,7,
s394,s81,16,
s131,s35,18,
s327,s197,19,
s107,s342,20,
s254,s92,18,
s90,s208,8,
s75,s253,7,
s17,s110,12,
s136,s214,4,
s19,s203,11,
s1,s361,0,
s139,s293,2,
s206,s1,10,
s58,s60,3,
s154,s145,12,
s172,s139,10,
s158,s288,12,
s221,s372,7,
s55,s347,15,
s224,s225,9,
s323,s120,4,
s141,s311,17,
s318,s121,4,
s230,s321,4,
s49,s107,18,
s25,s287,15,
s321,s247,13,
s131,s292,18,
s148,s186,11,
s190,s244,8,
s357,s152,14,
s345,s213,20,
s394,s270,14,
s84,s207,5,
s152,s261,1,
s281,s363,17,
s25,s250,9,
s80,s37,5,
s388,s297,1,
s163,s253,17,
s290,s392,16,
s282,s296,20,
s185,s35,8,
s368,s150,6,
s284,s5,3,
s114,s80,16,
s384,s113,17,
s145,s129,13,
s85,s259,19,
s348,s176,7,
s82,s174,19,
s207,s214,3,
s299,s179,13,
s301,s45,14,
s239,s32,2,
s375,s203,5,
s129,s323,10,
s41,s49,16,
s179,s168,16,
s360,s222,4,
s52,s258,16,
s3,s70,12,
s348,s143,10,
s52,s263,1,
s357,s23,15,
s312,s54,2,
s15,s257,0,
s168,s340,15,
s40,s160,1,
s352,s390,2,
s33,s209,6,
s353,s20,9,
s50,s389,18,
s170,s58,17,
s202,s1,10,
s148,s381,18,
s9,s273,12,
s283,s299,15,
s172,s340,11,
s257,s290,5,
s253,s368,19,
s27,s365,16,
s137,s395,16,
s13,s101,3,
s189,s51,2,
s308,s69,0,
s331,s336,16,
s289,s18,9,
s28,s276,8,
s400,s255,20,
s245,s74,19,
s155,s37,9,
s265,s303,13,
s6,s5,2,
s144,s278,11,
s88,s330,17,
s181,s311,4,
s105,s83,6,
s73,s54,9,
s228,s59,6,
s327,s25,6,
s85,s367,20,
s14,s177,19,
s39,s63,2,
s243,s329,9,
s271,s30,3,
s304,s255,13,
s373,s118,10,
s257,s94,14,
s224,s266,18,
s202,s87,0,
s233,s218,12,
s322,s227,14,
s6,s7,12,
s184,s15,0,
s294,s120,11,
s133,s260,20,
s255,s203,18,
s140,s247,11,
s66,s84,1,
s94,s138,16,
s138,s277,3,
s115,s154,3,
s40,s291,18,
s127,s237,6,
s388,s222,4,
s76,s171,3,
s306,s91,3,
s249,s284,17,
s21,s308,16,
s289,s336,5,
s121,s157,18,
s243,s146,1,
s381,s334,15,
s327,s166,14,
s162,s299,4,
s274,s240,6,
s70,s129,8,
s103,s168,15,
s237,s253,0,
s129,s138,20,
s318,s248,0,
s56,s341,12,
s84,s357,20,
s223,s120,19,
s361,s89,11,
s172,s214,18,
s102,s379,11,
s46,s131,9,
s282,s28,14,
s239,s272,17,
s214,s189,19,
s165,s385,8,
s388,s143,4,
s135,s388,17,
s187,s357,3,
s355,s54,18,
s281,s397,19,
s46,s233,4,
s350,s292,1,
s139,s368,8,
s150,s180,19,
s195,s283,16,
s51,s181,15,
s166,s358,4,
s194,s253,11,
s311,s346,1,
s93,s211,18,
s27,s86,11,
s329,s29,1,
s380,s169,6,
s218,s173,6,
s211,s304,11,
s225,s82,17,
s240,s378,5,
s303,s96,18,
s257,s219,3,
s400,s369,4,
s384,s267,8,
s120,s364,20,
s262,s11,4,
s224,s260,18,
s304,s135,19,
s200,s167,8,
s250,s133,2,
s89,s89,15,
s399,s67,9,
s80,s230,10,
s367,s232,19,
s97,s269,6,
s288,s396,9,
s23,s3,1,
s55,s353,9,
s42,s63,16,
s12,s290,17,
s77,s321,1,
s397,s258,3,
s240,s344,14,
s123,s219,11,
s373,s163,20,
s201,s86,8,
s86,s112,17,
s138,s158,2,
s294,s51,0,
s132,s29,20,
s68,s131,13,
s255,s18,2,
s85,s246,11,
s259,s360,4,
s232,s282,9,
s112,s347,3,
s218,s21,10,
s280,s265,1,
s14,s350,12,
s267,s40,10,
s20,s64,16,
s27,s2,17,
s84,s47,14,
s134,s244,18,
s83,s276,19,
s192,s287,3,
s183,s330,9,
s31,s256,16,
s265,s307,18,
s266,s345,5,
s316,s241,20,
s39,s194,15,
s197,s267,6,
s197,s81,3,
s36,s316,15,
s351,s356,18,
s261,s231,17,
s40,s94,15,
s232,s100,12,
s190,s98,15,
s222,s315,13,
s240,s316,4,
s388,s104,13,
s209,s297,1,
s258,s276,0,
s130,s379,11,
s187,s272,3,
s281,s65,15,
s358,s99,18,
s272,s216,10,
s351,s119,18,
s139,s96,9,
s182,s291,0,
s164,s211,4,
s99,s173,4,
s41,s83,7,
s128,s281,14,
s194,s358,10,
s24,s49,10,
s23,s65,4,
s384,s33,11,
s383,s341,6,
s280,s310,4,
s368,s214,16,
s326,s128,5,
s200,s127,5,
s394,s164,7,
s239,s49,17,
s73,s76,13,
s101,s328,0,
s27,s167,15,
s130,s306,1,
s110,s16,10,
s340,s10,7,
s301,s396,7,
s81,s140,1,
s147,s132,1,
s297,s159,5,
s167,s303,18,
s230,s11,19,
s90,s290,19,
s138,s149,12,
s16,s234,9,
s285,s281,12,
s235,s236,19,
s224,s102,18,
s386,s223,15,
s387,s299,13,
s290,s322,10,
s226,s137,18,
s351,s46,0,
s163,s268,13,
s137,s312,8,
s83,s225,20,
s154,s314,16,
s19,s203,15,
s91,s188,20,
s259,s265,6,
s398,s237,3,
s311,s382,19,
s238,s221,14,
s44,s194,4,
s27,s179,9,
s196,s10,5,
s226,s384,15,
s330,s114,1,
s26,s44,6,
s333,s133,19,
s243,s292,6,
s229,s338,12,
s231,s99,8,
s291,s259,4,
s80,s286,10,
s226,s171,13,
s157,s244,10,
s333,s257,16,
s335,s360,3,
s332,s341,4,
s59,s369,17,
s400,s265,20,
s167,s315,3,
s138,s245,13,
s233,s124,18,
s144,s379,6,
s32,s244,5,
s146,s297,0,
s335,s249,8,
s333,s29,2,
s369,s122,10,
s387,s58,17,
s395,s35,19,
s2,s151,3,
s175,s358,8,
s104,s54,4,
s340,s262,12,
s175,s101,7,
s134,s277,15,
s319,s336,14,
s328,s388,13,
s15,s274,18,
s255,s176,5,
s305,s222,19,
s279,s88,7,
s44,s165,3,
s150,s51,18,
s244,s278,13,
s178,s336,0,
s327,s291,7,
s61,s226,5,
s3,s253,2,
s171,s207,5,
s348,s281,0,
s313,s287,3,
s199,s117,19,
s210,s264,6,
s58,s108,12,
s80,s33,4,
s231,s57,9,
s306,s383,2,
s137,s199,20,
s229,s248,5,
s226,s399,12,
s366,s209,14,
s93,s201,2,
s312,s132,6,
s229,s273,5,
s275,s267,10,
